datetime order_book_id side position_effect
2020-05-29 09:10:00 I88 SELL OPEN
2020-05-29 09:18:00 I88 BUY CLOSE_TODAY
2020-05-29 09:26:00 I88 SELL OPEN
2020-05-29 09:29:00 I88 BUY CLOSE_TODAY
2020-05-29 09:42:00 I88 SELL OPEN
2020-05-29 09:46:00 I88 BUY CLOSE_TODAY
2020-05-29 09:47:00 I88 SELL OPEN
2020-05-29 10:08:00 I88 BUY CLOSE_TODAY
2020-05-29 10:12:00 I88 SELL OPEN
2020-05-29 10:35:00 I88 BUY CLOSE_TODAY
2020-05-29 14:21:00 I88 SELL OPEN
2020-05-29 14:22:00 I88 BUY CLOSE_TODAY
2020-05-29 14:25:00 I88 SELL OPEN
2020-05-29 14:46:00 I88 BUY CLOSE_TODAY
2020-06-01 09:05:00 I88 SELL OPEN
2020-06-01 09:07:00 I88 BUY CLOSE_TODAY
2020-06-01 09:08:00 I88 SELL OPEN
2020-06-01 09:30:00 I88 BUY CLOSE_TODAY
2020-06-01 10:06:00 I88 SELL OPEN
2020-06-01 10:07:00 I88 BUY CLOSE_TODAY
2020-06-01 10:09:00 I88 SELL OPEN
2020-06-01 10:58:00 I88 BUY CLOSE_TODAY
2020-06-01 11:22:00 I88 SELL OPEN
2020-06-01 11:23:00 I88 BUY CLOSE_TODAY
2020-06-01 21:01:00 I88 BUY OPEN
2020-06-01 21:02:00 I88 SELL CLOSE_TODAY
2020-06-01 21:07:00 I88 BUY OPEN
2020-06-01 21:10:00 I88 SELL CLOSE_TODAY
2020-06-01 21:13:00 I88 BUY OPEN
2020-06-01 21:18:00 I88 SELL CLOSE_TODAY
2020-06-01 21:47:00 I88 BUY OPEN
2020-06-01 21:57:00 I88 SELL CLOSE_TODAY
2020-06-01 21:59:00 I88 BUY OPEN
2020-06-01 22:00:00 I88 SELL CLOSE_TODAY
2020-06-01 22:01:00 I88 BUY OPEN
2020-06-01 22:03:00 I88 SELL CLOSE_TODAY
2020-06-01 22:05:00 I88 BUY OPEN
2020-06-01 22:10:00 I88 SELL CLOSE_TODAY
2020-06-01 22:15:00 I88 BUY OPEN
2020-06-01 22:21:00 I88 SELL CLOSE_TODAY
2020-06-01 22:23:00 I88 BUY OPEN
2020-06-01 22:24:00 I88 SELL CLOSE_TODAY
2020-06-01 22:25:00 I88 BUY OPEN
2020-06-01 22:26:00 I88 SELL CLOSE_TODAY
2020-06-01 22:27:00 I88 BUY OPEN
2020-06-01 22:54:00 I88 SELL CLOSE_TODAY
2020-06-02 09:09:00 I88 BUY OPEN
2020-06-02 09:10:00 I88 SELL CLOSE_TODAY
2020-06-02 14:03:00 I88 SELL OPEN
2020-06-02 14:05:00 I88 BUY CLOSE_TODAY
2020-06-02 14:06:00 I88 SELL OPEN
2020-06-02 14:09:00 I88 BUY CLOSE_TODAY
2020-06-02 14:11:00 I88 SELL OPEN
2020-06-02 14:20:00 I88 BUY CLOSE_TODAY
2020-06-08 09:01:00 I88 SELL OPEN
2020-06-08 11:24:00 I88 BUY CLOSE_TODAY
2020-06-08 21:07:00 I88 BUY OPEN
2020-06-08 21:14:00 I88 SELL CLOSE_TODAY
2020-06-08 21:26:00 I88 BUY OPEN
2020-06-08 21:27:00 I88 SELL CLOSE_TODAY
2020-06-08 21:28:00 I88 BUY OPEN
2020-06-08 21:31:00 I88 SELL CLOSE_TODAY
2020-06-08 21:49:00 I88 BUY OPEN
2020-06-08 21:50:00 I88 SELL CLOSE_TODAY
2020-06-12 21:03:00 I88 SELL OPEN
2020-06-12 21:04:00 I88 BUY CLOSE_TODAY
2020-06-12 21:35:00 I88 SELL OPEN
2020-06-12 21:37:00 I88 BUY CLOSE_TODAY
2020-06-12 21:39:00 I88 SELL OPEN
2020-06-12 21:40:00 I88 BUY CLOSE_TODAY
2020-06-12 21:45:00 I88 SELL OPEN
2020-06-12 21:47:00 I88 BUY CLOSE_TODAY
2020-06-15 14:28:00 I88 BUY OPEN
2020-06-15 14:32:00 I88 SELL CLOSE_TODAY
2020-06-16 09:52:00 I88 SELL OPEN
2020-06-16 09:57:00 I88 BUY CLOSE_TODAY
2020-06-16 22:19:00 I88 BUY OPEN
2020-06-16 22:21:00 I88 SELL CLOSE_TODAY
2020-06-16 22:51:00 I88 BUY OPEN
2020-06-16 22:52:00 I88 SELL CLOSE_TODAY
2020-06-16 22:53:00 I88 BUY OPEN
2020-06-16 22:54:00 I88 SELL CLOSE_TODAY
2020-06-16 22:55:00 I88 BUY OPEN
2020-06-17 09:01:00 I88 SELL CLOSE
2020-06-17 09:02:00 I88 BUY OPEN
2020-06-17 09:03:00 I88 SELL CLOSE_TODAY
2020-06-17 09:06:00 I88 BUY OPEN
2020-06-17 09:12:00 I88 SELL CLOSE_TODAY
2020-06-17 09:18:00 I88 BUY OPEN
2020-06-17 09:19:00 I88 SELL CLOSE_TODAY
2020-06-17 09:21:00 I88 BUY OPEN
2020-06-17 09:23:00 I88 SELL CLOSE_TODAY
2020-06-17 09:25:00 I88 BUY OPEN
2020-06-17 09:27:00 I88 SELL CLOSE_TODAY
2020-06-17 09:28:00 I88 BUY OPEN
2020-06-17 09:29:00 I88 SELL CLOSE_TODAY
2020-06-17 09:31:00 I88 BUY OPEN
2020-06-17 09:32:00 I88 SELL CLOSE_TODAY
2020-06-17 10:44:00 I88 BUY OPEN
2020-06-17 10:46:00 I88 SELL CLOSE_TODAY
2020-06-22 09:59:00 I88 BUY OPEN
2020-06-22 10:01:00 I88 SELL CLOSE_TODAY
2020-06-22 10:41:00 I88 BUY OPEN
2020-06-22 10:44:00 I88 SELL CLOSE_TODAY
2020-06-22 10:45:00 I88 BUY OPEN
2020-06-22 10:47:00 I88 SELL CLOSE_TODAY
2020-06-29 09:18:00 I88 BUY OPEN
2020-06-29 10:46:00 I88 SELL CLOSE_TODAY
2020-06-29 10:47:00 I88 BUY OPEN
2020-06-29 13:35:00 I88 SELL CLOSE_TODAY
2020-07-06 21:52:00 I88 SELL OPEN
2020-07-07 09:19:00 I88 BUY CLOSE
2020-07-07 09:21:00 I88 SELL OPEN
2020-07-07 09:38:00 I88 BUY CLOSE_TODAY
2020-07-07 09:39:00 I88 SELL OPEN
2020-07-07 09:40:00 I88 BUY CLOSE_TODAY
2020-07-10 21:28:00 I88 SELL OPEN
2020-07-10 21:29:00 I88 BUY CLOSE_TODAY
2020-07-10 21:30:00 I88 SELL OPEN
2020-07-10 21:31:00 I88 BUY CLOSE_TODAY
2020-07-10 21:33:00 I88 SELL OPEN
2020-07-10 21:35:00 I88 BUY CLOSE_TODAY
2020-07-10 21:37:00 I88 SELL OPEN
2020-07-10 21:38:00 I88 BUY CLOSE_TODAY
2020-07-10 21:43:00 I88 SELL OPEN
2020-07-10 21:44:00 I88 BUY CLOSE_TODAY
2020-07-10 21:48:00 I88 SELL OPEN
2020-07-10 21:49:00 I88 BUY CLOSE_TODAY
2020-07-10 22:31:00 I88 SELL OPEN
2020-07-10 22:53:00 I88 BUY CLOSE_TODAY
2020-07-13 09:11:00 I88 SELL OPEN
2020-07-13 09:12:00 I88 BUY CLOSE_TODAY
2020-07-13 09:14:00 I88 SELL OPEN
2020-07-13 09:40:00 I88 BUY CLOSE_TODAY
2020-07-13 09:49:00 I88 SELL OPEN
2020-07-13 09:50:00 I88 BUY CLOSE_TODAY
2020-07-13 09:58:00 I88 SELL OPEN
2020-07-13 10:00:00 I88 BUY CLOSE_TODAY
2020-07-13 10:07:00 I88 SELL OPEN
2020-07-13 10:08:00 I88 BUY CLOSE_TODAY
2020-07-13 10:31:00 I88 SELL OPEN
2020-07-13 13:33:00 I88 BUY CLOSE_TODAY
2020-07-13 13:34:00 I88 SELL OPEN
2020-07-13 14:06:00 I88 BUY CLOSE_TODAY
2020-07-13 14:08:00 I88 SELL OPEN
2020-07-13 14:12:00 I88 BUY CLOSE_TODAY
2020-07-16 21:25:00 I88 BUY OPEN
2020-07-16 21:28:00 I88 SELL CLOSE_TODAY
2020-07-16 21:33:00 I88 BUY OPEN
2020-07-16 21:56:00 I88 SELL CLOSE_TODAY
2020-07-16 22:00:00 I88 BUY OPEN
